VARTK var
IDENT t
COMMA ,
IDENT c
COMMA ,
IDENT t1
COMMA ,
IDENT t2
COMMA ,
IDENT t3
COMMA ,
IDENT t4
COMMA ,
IDENT a
COMMA ,
IDENT b
COLON :
INTTK 0
SEMICN ;
BEGINTK begin
IDENT c
ASSIGN :=
INTCON 10
SEMICN ;
IDENT b
ASSIGN :=
INTCON 10
SEMICN ;
IDENT t
ASSIGN :=
IDENT c
SEMICN ;
IDENT t2
ASSIGN :=
IDENT b
MULT *
IDENT t1
SEMICN ;
IDENT t3
ASSIGN :=
MINU -
IDENT c
SEMICN ;
IDENT c
ASSIGN :=
IDENT b
MULT *
IDENT t3
SEMICN ;
IDENT t4
ASSIGN :=
IDENT t2
PLUS +
IDENT c
SEMICN ;
IDENT a
ASSIGN :=
IDENT t4
SEMICN ;
ENDTK end
PERIOD .
